Time,Channel A
(s),(V)

0.00000000,0.32987820
0.00100000,0.32987820
0.00200000,0.32987820
0.00300000,0.32987820
0.00400000,0.37693770
0.00500000,0.32987820
0.00600000,0.32987820
0.00700000,0.37693770
0.00800000,0.32987820
0.00900000,0.32987820
0.01000000,0.32987820
0.01100000,0.37693770
0.01200000,0.32987820
0.01300000,0.37693770
0.01400000,0.37693770
0.01500000,0.32987820
0.01600000,0.37693770
0.01700000,0.37693770
0.01800000,0.37693770
0.01900000,0.32987820
0.02000000,0.37693770
0.02100000,0.37693770
0.02200000,0.32987820
0.02300000,0.32987820
0.02400000,0.37693770
0.02500000,0.32987820
0.02600000,0.32987820
0.02700000,0.32987820
0.02800000,0.37693770
0.02900000,0.32987820
0.03000000,0.32987820
0.03100000,0.32987820
0.03200000,0.32987820
0.03300000,0.32987820
0.03400000,0.32987820
0.03500000,0.32987820
0.03600000,0.32987820
0.03700000,0.32987820
0.03800000,0.32987820
0.03900000,0.32987820
0.04000000,0.32987820
0.04100000,0.32987820
0.04200000,0.32987820
0.04300000,0.32987820
0.04400000,0.37693770
0.04500000,0.32987820
0.04600000,0.32987820
0.04700000,0.32987820
0.04800000,0.37693770
0.04900000,0.32987820
0.05000000,0.32987820
0.05100000,0.32987820
0.05200000,0.32987820
0.05300000,0.32987820
0.05400000,0.32987820
0.05500000,0.32987820
0.05600000,0.32987820
0.05700000,0.32987820
0.05800000,0.32987820
0.05900000,0.32987820
0.06000000,0.37693770
0.06100000,0.32987820
0.06200000,0.37693770
0.06300000,0.32987820
0.06400000,0.32987820
0.06500000,0.32987820
0.06600000,0.37693770
0.06700000,0.32987820
0.06800000,0.32987820
0.06900000,0.32987820
0.07000000,0.37693770
0.07100000,0.37693770
0.07200000,0.37693770
0.07299999,0.32987820
0.07399999,0.32987820
0.07499999,0.32987820
0.07599999,0.32987820
0.07699999,0.37693770
0.07799999,0.32987820
0.07899999,0.32987820
0.07999999,0.32987820
0.08099999,0.32987820
0.08199999,0.32987820
0.08299999,0.32987820
0.08399999,0.37693770
0.08499999,0.37693770
0.08599999,0.32987820
0.08699999,0.37693770
0.08799999,0.37693770
0.08899999,0.32987820
0.08999999,0.37693770
0.09099999,0.37693770
0.09199999,0.32987820
0.09299999,0.32987820
0.09399999,0.37693770
0.09499999,0.37693770
0.09599999,0.37693770
0.09699999,0.37693770
0.09799999,0.32987820
0.09899999,0.37693770
0.09999999,0.37693770
0.10099999,0.32987820
0.10199999,0.32987820
0.10299999,0.32987820
0.10399999,0.32987820
0.10499999,0.32987820
0.10599999,0.37693770
0.10699999,0.37693770
0.10799999,0.32987820
0.10899999,0.32987820
0.10999999,0.32987820
0.11099999,0.37693770
0.11199999,0.32987820
0.11299999,0.32987820
0.11399999,0.32987820
0.11499999,0.32987820
0.11599999,0.32987820
0.11699999,0.32987820
0.11799999,0.32987820
0.11899999,0.32987820
0.11999999,0.32987820
0.12099999,0.32987820
0.12199999,0.32987820
0.12299999,0.32987820
0.12399999,0.32987820
0.12499999,0.32987820
0.12599999,0.37693770
0.12699999,0.37693770
0.12799999,0.37693770
0.12899999,0.32987820
0.12999999,0.37693770
0.13099999,0.32987820
0.13199999,0.32987820
0.13299999,0.32987820
0.13399999,0.32987820
0.13499999,0.32987820
0.13599999,0.32987820
0.13699999,0.32987820
0.13799999,0.32987820
0.13899999,0.37693770
0.13999999,0.32987820
0.14099999,0.32987820
0.14199999,0.32987820
0.14299999,0.32987820
0.14399999,0.32987820
0.14499999,0.32987820
0.14599999,0.32987820
0.14699999,0.37693770
0.14799999,0.32987820
0.14899999,0.37693770
0.14999999,0.32987820
0.15099999,0.37693770
0.15199999,0.37693770
0.15299999,0.37693770
0.15399999,0.32987820
0.15499999,0.32987820
0.15599999,0.32987820
0.15699999,0.32987820
0.15799999,0.32987820
0.15899999,0.32987820
0.15999999,0.32987820
0.16099999,0.32987820
0.16199999,0.37693770
0.16299999,0.37693770
0.16399999,0.32987820
0.16499999,0.32987820
0.16599999,0.32987820
0.16699999,0.32987820
0.16799999,0.37693770
0.16899999,0.32987820
0.16999999,0.37693770
0.17099999,0.37693770
0.17199999,0.32987820
0.17299999,0.32987820
0.17399999,0.37693770
0.17499999,0.37693770
0.17599999,0.37693770
